ID,FIPS,Year,NumCivLaborForce,Numemployed
16558,5095,2020,2721.0,2539.0
16559,5097,2020,2981.0,2778.0
16560,5099,2020,3550.0,3342.0
16561,5101,2020,3246.0,3084.0
16562,5103,2020,9821.0,9229.0
16563,5105,2020,4188.0,3956.0
16564,5107,2020,6402.0,5822.0
16565,5109,2020,4272.0,4020.0
16566,5111,2020,9919.0,9374.0
16567,5113,2020,8013.0,7482.0
16568,5115,2020,27775.0,26138.0
16569,5117,2020,3608.0,3415.0
16570,5119,2020,188928.0,174884.0
16571,5121,2020,7444.0,7005.0
16572,5123,2020,8028.0,7394.0
16573,5125,2020,58181.0,55241.0
16574,5127,2020,4354.0,4159.0
16575,5129,2020,2885.0,2701.0
16576,5131,2020,56158.0,52803.0
16577,5133,2020,5524.0,5202.0
16578,5135,2020,5717.0,5309.0
16579,5137,2020,4618.0,4290.0
16580,5139,2020,15622.0,14325.0
16581,5141,2020,5758.0,5349.0
16582,5143,2020,126141.0,120346.0
16583,5145,2020,33972.0,31855.0
16584,5147,2020,2794.0,2631.0
16585,5149,2020,7997.0,7592.0
16586,6000,2020,18821167.0,16913078.0
16587,6001,2020,813807.0,742411.0
16588,6003,2020,517.0,459.0
16589,6005,2020,14424.0,13107.0
16590,6007,2020,92604.0,84095.0
16591,6009,2020,21207.0,19588.0
16592,6011,2020,10499.0,8824.0
16593,6013,2020,541256.0,493236.0
16594,6015,2020,9350.0,8466.0
16595,6017,2020,90752.0,83262.0
16596,6019,2020,445518.0,395258.0
16597,6021,2020,12568.0,11455.0
16598,6023,2020,59411.0,54446.0
16599,6025,2020,69602.0,53949.0
16600,6027,2020,8305.0,7658.0
16601,6029,2020,383769.0,335707.0
16602,6031,2020,56416.0,49883.0
16603,6033,2020,28267.0,25567.0
16604,6035,2020,9461.0,8785.0
16605,6037,2020,4921499.0,4291688.0
16606,6039,2020,61738.0,55089.0
16607,6041,2020,130138.0,121476.0
16608,6043,2020,7162.0,6381.0
16609,6045,2020,37015.0,33723.0
16610,6047,2020,114736.0,100755.0
16611,6049,2020,3170.0,2900.0
16612,6051,2020,7846.0,6917.0
16613,6053,2020,213471.0,190389.0
16614,6055,2020,68867.0,62853.0
16615,6057,2020,46489.0,42787.0
16616,6059,2020,1553301.0,1416738.0
16617,6061,2020,184892.0,171319.0
16618,6063,2020,7559.0,6753.0
16619,6065,2020,1107723.0,997725.0
16620,6067,2020,707182.0,641624.0
16621,6069,2020,31528.0,28409.0
16622,6071,2020,966206.0,874911.0
16623,6073,2020,1538361.0,1396547.0
16624,6075,2020,556056.0,512531.0
16625,6077,2020,331828.0,294454.0
16626,6079,2020,132690.0,122495.0
16627,6081,2020,433876.0,404128.0
16628,6083,2020,217510.0,200175.0
16629,6085,2020,1020693.0,949353.0
16630,6087,2020,133646.0,120932.0
16631,6089,2020,72827.0,66484.0
16632,6091,2020,1282.0,1179.0
16633,6093,2020,16923.0,15286.0
16634,6095,2020,202812.0,183607.0
16635,6097,2020,245091.0,225791.0
16636,6099,2020,240641.0,214885.0
16637,6101,2020,45467.0,40472.0
16638,6103,2020,25579.0,23317.0
16639,6105,2020,4515.0,4155.0
16640,6107,2020,199151.0,172852.0
16641,6109,2020,20038.0,17954.0
16642,6111,2020,408867.0,373903.0
16643,6113,2020,105026.0,97111.0
16644,6115,2020,30042.0,26879.0
16645,8000,2020,3122237.0,2895473.0
16646,8001,2020,274498.0,252469.0
16647,8003,2020,8403.0,7868.0
16648,8005,2020,366768.0,337943.0
16649,8007,2020,7123.0,6585.0
16650,8009,2020,2132.0,2082.0
16651,8011,2020,1828.0,1748.0
16652,8013,2020,192879.0,180992.0
16653,8014,2020,40226.0,37556.0
16654,8015,2020,9741.0,9126.0
16655,8017,2020,1103.0,1076.0
16656,8019,2020,6151.0,5628.0
16657,8021,2020,4071.0,3844.0
16658,8023,2020,1823.0,1691.0
16659,8025,2020,1528.0,1445.0
16660,8027,2020,2087.0,1982.0
16661,8029,2020,14340.0,13400.0
16662,8031,2020,423824.0,388924.0
16663,8033,2020,1137.0,1059.0
16664,8035,2020,194649.0,183412.0
16665,8037,2020,35708.0,32319.0
16666,8039,2020,14961.0,14264.0
16667,8041,2020,344120.0,319084.0
16668,8043,2020,15393.0,14203.0
16669,8045,2020,31762.0,29606.0
16670,8047,2020,4016.0,3562.0
16671,8049,2020,9364.0,8576.0
16672,8051,2020,11347.0,10596.0
16673,8053,2020,426.0,408.0
16674,8055,2020,2644.0,2395.0
16675,8057,2020,940.0,900.0
16676,8059,2020,333682.0,310057.0
16677,8061,2020,956.0,934.0
16678,8063,2020,4249.0,4130.0
16679,8065,2020,4853.0,4454.0
16680,8067,2020,31366.0,29219.0
16681,8069,2020,203683.0,190842.0
16682,8071,2020,6497.0,6014.0
16683,8073,2020,2375.0,2269.0
16684,8075,2020,11017.0,10495.0
16685,8077,2020,75551.0,69917.0
16686,8079,2020,469.0,442.0
16687,8081,2020,7285.0,6849.0
16688,8083,2020,12703.0,11795.0
16689,8085,2020,21639.0,20208.0
16690,8087,2020,16125.0,15254.0
16691,8089,2020,8228.0,7720.0
16692,8091,2020,2493.0,2292.0
16693,8093,2020,11114.0,10480.0
16694,8095,2020,2467.0,2401.0
16695,8097,2020,11253.0,10077.0
16696,8099,2020,6213.0,5937.0
16697,8101,2020,77355.0,71037.0
16698,8103,2020,2949.0,2789.0
16699,8105,2020,5453.0,5068.0
16700,8107,2020,16206.0,14929.0
16701,8109,2020,3438.0,3196.0
16702,8111,2020,509.0,475.0
16703,8113,2020,5410.0,4818.0
16704,8115,2020,1166.0,1126.0
16705,8117,2020,22402.0,20204.0
16706,8119,2020,12984.0,12016.0
16707,8121,2020,2895.0,2804.0
16708,8123,2020,166666.0,155042.0
16709,8125,2020,5604.0,5445.0
16710,9000,2020,1872631.0,1724621.0
16711,9001,2020,466208.0,429164.0
16712,9003,2020,476115.0,437433.0
