id,fips,econ_year,unemp_rate,num_unemployed
225,6057,2020,8,3702
226,6059,2020,8.8,136563
227,6061,2020,7.3,13573
228,6063,2020,10.7,806
229,6065,2020,9.9,109998
230,6067,2020,9.3,65558
231,6069,2020,9.9,3119
232,6071,2020,9.4,91295
233,6073,2020,9.2,141814
234,6075,2020,7.8,43525
235,6077,2020,11.3,37374
236,6079,2020,7.7,10195
237,6081,2020,6.9,29748
238,6083,2020,8,17335
239,6085,2020,7,71340
240,6087,2020,9.5,12714
241,6089,2020,8.7,6343
242,6091,2020,8,103
243,6093,2020,9.7,1637
244,6095,2020,9.5,19205
245,6097,2020,7.9,19300
246,6099,2020,10.7,25756
247,6101,2020,11,4995
248,6103,2020,8.8,2262
249,6105,2020,8,360
250,6107,2020,13.2,26299
251,6109,2020,10.4,2084
252,6111,2020,8.6,34964
253,6113,2020,7.5,7915
254,6115,2020,10.5,3163
255,8000,2020,7.3,226764
256,8001,2020,8,22029
257,8003,2020,6.4,535
258,8005,2020,7.9,28825
259,8007,2020,7.6,538
260,8009,2020,2.3,50
261,8011,2020,4.4,80
262,8013,2020,6.2,11887
263,8014,2020,6.6,2670
264,8015,2020,6.3,615
265,8017,2020,2.4,27
266,8019,2020,8.5,523
267,8021,2020,5.6,227
268,8023,2020,7.2,132
269,8025,2020,5.4,83
270,8027,2020,5,105
271,8029,2020,6.6,940
272,8031,2020,8.2,34900
273,8033,2020,6.9,78
274,8035,2020,5.8,11237
275,8037,2020,9.5,3389
276,8039,2020,4.7,697
277,8041,2020,7.3,25036
278,8043,2020,7.7,1190
279,8045,2020,6.8,2156
280,8047,2020,11.3,454
281,8049,2020,8.4,788
282,8051,2020,6.6,751
283,8053,2020,4.2,18
284,8055,2020,9.4,249
285,8057,2020,4.3,40
286,8059,2020,7.1,23625
287,8061,2020,2.3,22
288,8063,2020,2.8,119
289,8065,2020,8.2,399
290,8067,2020,6.8,2147
291,8069,2020,6.3,12841
292,8071,2020,7.4,483
293,8073,2020,4.5,106
294,8075,2020,4.7,522
295,8077,2020,7.5,5634
296,8079,2020,5.8,27
297,8081,2020,6,436
298,8083,2020,7.1,908
299,8085,2020,6.6,1431
300,8087,2020,5.4,871
301,8089,2020,6.2,508
302,8091,2020,8.1,201
303,8093,2020,5.7,634
304,8095,2020,2.7,66
305,8097,2020,10.5,1176
306,8099,2020,4.4,276
307,8101,2020,8.2,6318
