id,fips,econ_year,num_civ_labor_force,num_employed
16603,6033,2020,28267,25567
16604,6035,2020,9461,8785
16605,6037,2020,4921499,4291688
16606,6039,2020,61738,55089
16607,6041,2020,130138,121476
16608,6043,2020,7162,6381
16609,6045,2020,37015,33723
16610,6047,2020,114736,100755
16611,6049,2020,3170,2900
16612,6051,2020,7846,6917
16613,6053,2020,213471,190389
16614,6055,2020,68867,62853
16615,6057,2020,46489,42787
16616,6059,2020,1553301,1416738
16617,6061,2020,184892,171319
16618,6063,2020,7559,6753
16619,6065,2020,1107723,997725
16620,6067,2020,707182,641624
16621,6069,2020,31528,28409
16622,6071,2020,966206,874911
16623,6073,2020,1538361,1396547
16624,6075,2020,556056,512531
16625,6077,2020,331828,294454
16626,6079,2020,132690,122495
16627,6081,2020,433876,404128
16628,6083,2020,217510,200175
16629,6085,2020,1020693,949353
16630,6087,2020,133646,120932
16631,6089,2020,72827,66484
16632,6091,2020,1282,1179
16633,6093,2020,16923,15286
16634,6095,2020,202812,183607
16635,6097,2020,245091,225791
16636,6099,2020,240641,214885
16637,6101,2020,45467,40472
16638,6103,2020,25579,23317
16639,6105,2020,4515,4155
16640,6107,2020,199151,172852
16641,6109,2020,20038,17954
16642,6111,2020,408867,373903
16643,6113,2020,105026,97111
16644,6115,2020,30042,26879
16645,8000,2020,3122237,2895473
16646,8001,2020,274498,252469
16647,8003,2020,8403,7868
16648,8005,2020,366768,337943
16649,8007,2020,7123,6585
16650,8009,2020,2132,2082
16651,8011,2020,1828,1748
16652,8013,2020,192879,180992
16653,8014,2020,40226,37556
16654,8015,2020,9741,9126
16655,8017,2020,1103,1076
16656,8019,2020,6151,5628
16657,8021,2020,4071,3844
16658,8023,2020,1823,1691
16659,8025,2020,1528,1445
16660,8027,2020,2087,1982
16661,8029,2020,14340,13400
16662,8031,2020,423824,388924
16663,8033,2020,1137,1059
16664,8035,2020,194649,183412
16665,8037,2020,35708,32319
16666,8039,2020,14961,14264
16667,8041,2020,344120,319084
16668,8043,2020,15393,14203
16669,8045,2020,31762,29606
16670,8047,2020,4016,3562
16671,8049,2020,9364,8576
16672,8051,2020,11347,10596
16673,8053,2020,426,408
16674,8055,2020,2644,2395
16675,8057,2020,940,900
16676,8059,2020,333682,310057
16677,8061,2020,956,934
16678,8063,2020,4249,4130
16679,8065,2020,4853,4454
16680,8067,2020,31366,29219
16681,8069,2020,203683,190842
16682,8071,2020,6497,6014
16683,8073,2020,2375,2269
16684,8075,2020,11017,10495
16685,8077,2020,75551,69917
16686,8079,2020,469,442
16687,8081,2020,7285,6849
16688,8083,2020,12703,11795
16689,8085,2020,21639,20208
16690,8087,2020,16125,15254
16691,8089,2020,8228,7720
16692,8091,2020,2493,2292
16693,8093,2020,11114,10480
16694,8095,2020,2467,2401
16695,8097,2020,11253,10077
16696,8099,2020,6213,5937
16697,8101,2020,77355,71037
16698,8103,2020,2949,2789
16699,8105,2020,5453,5068
16700,8107,2020,16206,14929
16701,8109,2020,3438,3196
16702,8111,2020,509,475
16703,8113,2020,5410,4818
16704,8115,2020,1166,1126
16705,8117,2020,22402,20204
16706,8119,2020,12984,12016
16707,8121,2020,2895,2804
16708,8123,2020,166666,155042
16709,8125,2020,5604,5445
16710,9000,2020,1872631,1724621
16711,9001,2020,466208,429164
16712,9003,2020,476115,437433
16713,9005,2020,102109,95102
16714,9007,2020,92221,86211
16715,9009,2020,457171,420669
16716,9011,2020,131992,119313
16717,9013,2020,84598,79362
16718,9015,2020,62218,57369
16719,10000,2020,484358,446458
16720,10001,2020,79715,72843
16721,10003,2020,298640,275601
16722,10005,2020,106004,98014
16723,11000,2020,409734,376839
16724,11001,2020,409734,376839
16725,12000,2020,10114329,9332838
16726,12001,2020,134931,127696
16727,12003,2020,11759,11179
16728,12005,2020,82763,77746
16729,12007,2020,10791,10150
16730,12009,2020,281591,262867
16731,12011,2020,1020586,930297
16732,12013,2020,4754,4508
16733,12015,2020,71182,65968
16734,12017,2020,46500,42582
16735,12019,2020,105658,100004
16736,12021,2020,177497,165287
16737,12023,2020,29566,27840
16738,12027,2020,14356,13615
16739,12029,2020,5886,5565
16740,12031,2020,485114,452481
16741,12033,2020,144779,135108
16742,12035,2020,46636,43083
16743,12037,2020,4681,4429
16744,12039,2020,18421,17176
16745,12041,2020,7028,6683
16746,12043,2020,5192,4903
16747,12045,2020,5022,4724
16748,12047,2020,4199,3880
16749,12049,2020,8466,7915
16750,12051,2020,15589,14332
16751,12053,2020,71534,65765
16752,12055,2020,34641,31967
16753,12057,2020,754552,700764
16754,12059,2020,6850,6472
16755,12061,2020,64233,59482
16756,12063,2020,17231,16298
16757,12065,2020,5347,5049
16758,12067,2020,2781,2664
16759,12069,2020,154028,140383
16760,12071,2020,345417,320161
16761,12073,2020,150626,141883
16762,12075,2020,16569,15568
16763,12077,2020,2598,2473
16764,12079,2020,7599,7140
16765,12081,2020,176496,164571
16766,12083,2020,138469,128709
16767,12085,2020,72180,67796
16768,12086,2020,1291854,1188173
16769,12087,2020,44755,41223
16770,12089,2020,41338,38991
16771,12091,2020,96010,90729
16772,12093,2020,17138,16217
16773,12095,2020,737546,659050
16774,12097,2020,185793,160638
16775,12099,2020,717379,662945
16776,12101,2020,238327,221185
16777,12103,2020,484330,450266
16778,12105,2020,316626,287979
16779,12107,2020,26470,24378
16780,12109,2020,133843,126772
16781,12111,2020,145363,134060
16782,12113,2020,82647,78348
16783,12115,2020,184464,171875
16784,12117,2020,237769,220602
16785,12119,2020,32225,29691
16786,12121,2020,17758,16758
16787,12123,2020,8169,7659
16788,12125,2020,4552,4336
16789,12127,2020,249560,230585
16790,12129,2020,14885,14216
16791,12131,2020,31957,30070
16792,12133,2020,9478,8929
16793,13000,2020,5072155,4741191
16794,13001,2020,9105,8674
16795,13003,2020,4434,4262
16796,13005,2020,4652,4425
16797,13007,2020,1145,1076
16798,13009,2020,17607,16388
16799,13011,2020,9778,9359
16800,13013,2020,40112,38057
16801,13015,2020,49719,46612
16802,13017,2020,5460,5083
16803,13019,2020,7405,6977
16804,13021,2020,67421,62371
16805,13023,2020,4501,4209
16806,13025,2020,6995,6618
16807,13027,2020,6842,6488
16808,13029,2020,18718,17732
16809,13031,2020,37020,34601
16810,13033,2020,9026,8379
16811,13035,2020,10739,10075
16812,13037,2020,2237,2124
16813,13039,2020,21089,20092
16814,13043,2020,5633,5383
16815,13045,2020,54475,51009
16816,13047,2020,32611,31194
16817,13049,2020,4842,4660
16818,13051,2020,140631,129918
16819,13053,2020,1988,1864
16820,13055,2020,9767,8947
16821,13057,2020,133045,126581
16822,13059,2020,58206,54453
16823,13061,2020,896,785
16824,13063,2020,139790,125357
16825,13065,2020,2943,2826
16826,13067,2020,414357,389904
16827,13069,2020,18938,17835
16828,13071,2020,21917,20938
16829,13073,2020,74411,71266
16830,13075,2020,8102,7718
16831,13077,2020,73981,69397
16832,13079,2020,5488,5211
16833,13081,2020,9515,8767
16834,13083,2020,7860,7538
16835,13085,2020,12319,11735
16836,13087,2020,11304,10763
16837,13089,2020,395683,364209
16838,13091,2020,6957,6542
16839,13093,2020,4925,4547
16840,13095,2020,37712,34469
16841,13097,2020,72297,66930
16842,13099,2020,4424,4168
16843,13101,2020,1899,1825
16844,13103,2020,31400,29827
16845,13105,2020,7969,7418
16846,13107,2020,8518,7915
16847,13109,2020,5002,4745
16848,13111,2020,11066,10542
16849,13113,2020,56444,53389
16850,13115,2020,43234,40522
16851,13117,2020,120904,115371
16852,13119,2020,9892,9308
16853,13121,2020,557232,512593
16854,13123,2020,11963,11401
16855,13125,2020,1244,1193
16856,13127,2020,38215,35610
16857,13129,2020,28062,26531
16858,13131,2020,10601,10139
16859,13133,2020,7080,6663
16860,13135,2020,481453,450909
16861,13137,2020,18691,17675
16862,13139,2020,101949,97133
16863,13141,2020,2532,2309
16864,13143,2020,12245,11525
16865,13145,2020,16527,15763
16866,13147,2020,11373,10757
16867,13149,2020,5132,4798
16868,13151,2020,115352,106831
16869,13153,2020,70418,66769
16870,13155,2020,3467,3276
16871,13157,2020,39648,37910
16872,13159,2020,6756,6422
16873,13161,2020,6099,5785
16874,13163,2020,6658,6209
16875,13165,2020,3178,2978
16876,13167,2020,4006,3808
16877,13169,2020,13346,12737
16878,13171,2020,7980,7476
16879,13173,2020,3723,3529
16880,13175,2020,19367,18075
16881,13177,2020,14763,14081
16882,13179,2020,25741,24140
16883,13181,2020,3497,3307
16884,13183,2020,8139,7782
16885,13185,2020,51599,48484
16886,13187,2020,16463,15671
16887,13189,2020,8695,8016
16888,13191,2020,5949,5609
16889,13193,2020,4614,4303
16890,13195,2020,12972,12302
16891,13197,2020,3192,3029
16892,13199,2020,8816,8061
16893,13201,2020,2772,2660
16894,13205,2020,8289,7751
16895,13207,2020,12700,12050
16896,13209,2020,3891,3681
16897,13211,2020,9142,8645
16898,13213,2020,15350,14191
16899,13215,2020,77258,71209
16900,13217,2020,51901,48202
16901,13219,2020,19208,18487
16902,13221,2020,6791,6464
16903,13223,2020,85313,80718
16904,13225,2020,11814,11084
16905,13227,2020,14927,14210
16906,13229,2020,8500,8115
16907,13231,2020,8705,8273
16908,13233,2020,18292,17200
16909,13235,2020,3976,3797
16910,13237,2020,8210,7671
16911,13239,2020,800,748
16912,13241,2020,7215,6831
16913,13243,2020,2490,2343
16914,13245,2020,85112,78649
16915,13247,2020,43989,40657
16916,13249,2020,2145,2052
16917,13251,2020,5047,4635
16918,13253,2020,3093,2938
16919,13255,2020,28305,26156
16920,13257,2020,10414,9745
16921,13259,2020,2509,2367
16922,13261,2020,12525,11601
16923,13263,2020,2757,2568
16924,13265,2020,530,492
16925,13267,2020,9651,9237
16926,13269,2020,2746,2563
16927,13271,2020,3782,3408
16928,13273,2020,3497,3235
16929,13275,2020,16930,15874
16930,13277,2020,20500,19463
16931,13279,2020,12081,11287
16932,13281,2020,3841,3585
16933,13283,2020,2710,2547
16934,13285,2020,37448,34727
16935,13287,2020,3264,3028
16936,13289,2020,2790,2583
16937,13291,2020,10464,10006
16938,13293,2020,11328,10578
16939,13295,2020,30601,29106
16940,13297,2020,44917,42476
16941,13299,2020,15284,14432
16942,13301,2020,2635,2456
16943,13303,2020,6931,6486
16944,13305,2020,11540,10894
16945,13307,2020,1008,951
16946,13309,2020,1608,1492
16947,13311,2020,16197,15491
16948,13313,2020,43275,40137
16949,13315,2020,2737,2581
16950,13317,2020,3712,3464
16951,13319,2020,3790,3587
16952,13321,2020,8844,8369
16953,15000,2020,648191,572796
16954,15001,2020,89119,78986
16955,15003,2020,440915,396136
16956,15005,2020,0,0
16957,15007,2020,35337,29618
16958,15009,2020,82820,68056
16959,16000,2020,892151,844365
16960,16001,2020,257677,243784
16961,16003,2020,1758,1594
16962,16005,2020,42560,40495
16963,16007,2020,3075,2946
16964,16009,2020,4140,3830
16965,16011,2020,23776,22860
16966,16013,2020,12666,11679
16967,16015,2020,3609,3321
16968,16017,2020,21119,19527
16969,16019,2020,58136,55789
16970,16021,2020,5502,5163
16971,16023,2020,1393,1343
16972,16025,2020,684,651
16973,16027,2020,105981,99763
16974,16029,2020,4110,3962
16975,16031,2020,12384,11930
16976,16033,2020,378,363
16977,16035,2020,3021,2772
16978,16037,2020,2218,2106
16979,16039,2020,11897,11321
16980,16041,2020,7060,6807
16981,16043,2020,7894,7606
16982,16045,2020,8422,7924
16983,16047,2020,8256,7944
16984,16049,2020,6709,6260
16985,16051,2020,14142,13659
16986,16053,2020,12198,11711
16987,16055,2020,81286,75654
16988,16057,2020,19756,18818
16989,16059,2020,3651,3408
16990,16061,2020,1662,1534
16991,16063,2020,2667,2511
16992,16065,2020,22306,21700
16993,16067,2020,11642,11194
16994,16069,2020,20793,19780
16995,16071,2020,2342,2244
16996,16073,2020,5493,5166
16997,16075,2020,11941,11309
16998,16077,2020,4132,3964
16999,16079,2020,5444,4946
17000,16081,2020,6632,6256
17001,16083,2020,41250,39083
17002,16085,2020,5643,5195
17003,16087,2020,4752,4496
17004,17000,2020,6249147,5657532
17005,17001,2020,31259,29287
17006,17003,2020,1918,1730
17007,17005,2020,7484,6972
17008,17007,2020,25580,22720
17009,17009,2020,2996,2881
17010,17011,2020,16363,15124
17011,17013,2020,2228,2059
17012,17015,2020,7376,6844
17013,17017,2020,5813,5426
17014,17019,2020,108725,101732
17015,17021,2020,13598,12497
17016,17023,2020,7331,6752
17017,17025,2020,6231,5646
17018,17027,2020,19796,18642
17019,17029,2020,23148,21432
17020,17031,2020,2539907,2258453
17021,17033,2020,8472,7882
17022,17035,2020,5944,5606
17023,17037,2020,53031,48678
17024,17039,2020,7120,6656
17025,17041,2020,10036,9474
17026,17043,2020,484215,445824
17027,17045,2020,8899,8311
17028,17047,2020,2681,2462
17029,17049,2020,19265,17988
17030,17051,2020,9700,8977
17031,17053,2020,6236,5834
17032,17055,2020,15985,14299
17033,17057,2020,14615,13364
17034,17059,2020,2032,1846
17035,17061,2020,5904,5522
17036,17063,2020,24269,22138
17037,17065,2020,4225,3944
17038,17067,2020,8081,7521
17039,17069,2020,1289,1171
17040,17071,2020,3544,3298
17041,17073,2020,23925,22061
17042,17075,2020,13582,12738
17043,17077,2020,27251,25146
17044,17079,2020,4591,4315
17045,17081,2020,16993,15279
17046,17083,2020,10678,9883
17047,17085,2020,10426,9560
17048,17087,2020,4098,3732
17049,17089,2020,261649,237738
17050,17091,2020,53934,49164
17051,17093,2020,66386,60839
17052,17095,2020,21110,19285
17053,17097,2020,364544,335133
17054,17099,2020,52663,47699
17055,17101,2020,5781,5276
17056,17103,2020,17154,15982
17057,17105,2020,15909,14840
17058,17107,2020,12122,11305
17059,17109,2020,12819,11908
17060,17111,2020,158406,145249
17061,17113,2020,85103,79341
17062,17115,2020,47177,42512
17063,17117,2020,22119,20596
17064,17119,2020,131452,121270
17065,17121,2020,17114,15523
17066,17123,2020,5085,4710
17067,17125,2020,5916,5440
17068,17127,2020,5424,4883
17069,17129,2020,6101,5710
17070,17131,2020,7689,7072
17071,17133,2020,18386,17363
17072,17135,2020,11453,10455
17073,17137,2020,15873,14784
17074,17139,2020,7292,6925
17075,17141,2020,24161,22199
17076,17143,2020,83684,75016
17077,17145,2020,8093,7330
17078,17147,2020,8462,8009
17079,17149,2020,6753,6348
17080,17151,2020,1643,1513
17081,17153,2020,1768,1562
17082,17155,2020,2942,2698
17083,17157,2020,13764,12786
17084,17159,2020,7362,6864
17085,17161,2020,68915,62443
17086,17163,2020,125155,113836
17087,17165,2020,9534,8605
17088,17167,2020,96869,88916
17089,17169,2020,3126,2933
17090,17171,2020,2349,2194
17091,17173,2020,10256,9596
17092,17175,2020,2373,2200
17093,17177,2020,21106,19560
17094,17179,2020,61977,56948
17095,17181,2020,7192,6610
17096,17183,2020,32542,29671
17097,17185,2020,5718,5242
17098,17187,2020,8085,7587
17099,17189,2020,9576,9072
17100,17191,2020,6795,6230
17101,17193,2020,6137,5671
17102,17195,2020,27673,25461
17103,17197,2020,344335,311763
17104,17199,2020,31533,28794
17105,17201,2020,135759,120253
17106,17203,2020,18012,16917
17107,18000,2020,3319010,3082982
17108,18001,2020,16771,15836
17109,18003,2020,184986,170783
17110,18005,2020,43802,40975
17111,18007,2020,4268,4047
17112,18009,2020,4826,4442
17113,18011,2020,35586,34064
17114,18013,2020,7568,7062
17115,18015,2020,9659,9076
17116,18017,2020,17551,16360
17117,18019,2020,61138,56726
17118,18021,2020,11450,10689
17119,18023,2020,16825,15886
17120,18025,2020,4849,4506
17121,18027,2020,16523,15891
17122,18029,2020,25224,23482
17123,18031,2020,14928,13813
17124,18033,2020,22116,20591
17125,18035,2020,52466,48633
17126,18037,2020,22595,21569
17127,18039,2020,110494,102155
17128,18041,2020,8543,7700
17129,18043,2020,41093,38422
17130,18045,2020,7752,7247
17131,18047,2020,11270,10608
17132,18049,2020,9680,9040
17133,18051,2020,19537,18332
17134,18053,2020,31534,29538
17135,18055,2020,13264,12442
17136,18057,2020,182979,174455
17137,18059,2020,40363,38084
17138,18061,2020,19874,18626
17139,18063,2020,89386,84885
17140,18065,2020,21866,20424
17141,18067,2020,36931,32921
17142,18069,2020,18032,16846
17143,18071,2020,23066,21416
17144,18073,2020,15583,14490
17145,18075,2020,8801,8224
17146,18077,2020,14965,13858
17147,18079,2020,13582,12549
17148,18081,2020,82335,77712
17149,18083,2020,18228,17148
17150,18085,2020,41420,38879
17151,18087,2020,19178,17945
17152,18089,2020,225185,201989
17153,18091,2020,47444,42924
17154,18093,2020,20687,19252
17155,18095,2020,58758,54137
17156,18097,2020,495063,456145
17157,18099,2020,22646,21190
17158,18101,2020,5410,5181
17159,18103,2020,15009,13772
17160,18105,2020,68155,64390
17161,18107,2020,18538,17580
17162,18109,2020,35605,33693
17163,18111,2020,6591,6139
17164,18113,2020,22709,20804
17165,18115,2020,3157,2924
17166,18117,2020,8499,7558
17167,18119,2020,9015,8447
17168,18121,2020,6844,6468
17169,18123,2020,9089,8495
17170,18125,2020,6144,5782
17171,18127,2020,83987,77220
17172,18129,2020,12834,12202
17173,18131,2020,6395,6007
17174,18133,2020,16336,15318
17175,18135,2020,11191,10456
17176,18137,2020,13875,12991
17177,18139,2020,8738,8191
17178,18141,2020,133385,122197
